company,source,date,to_grade,from_grade,action,price_target,prior_target,price_ticker,origin,signal,fwd_return,actual_up,is_directional,correct
Genmab,HC Wainwright & Co.,2024-02-20 12:20:21,Buy,Buy,reit,50.0,0.0,GMAB.CO,yahoo,1,-0.21939546599496218,False,True,0.0
Genmab,Truist Securities,2024-02-20 14:25:52,Buy,Buy,reit,50.0,54.0,GMAB.CO,yahoo,1,-0.21939546599496218,False,True,0.0
Novo Nordisk,Cantor Fitzgerald,2024-02-20 17:42:11,Overweight,Overweight,reit,140.0,0.0,NOVO-B.CO,yahoo,1,-0.283609207732457,False,True,0.0
Genmab,BMO Capital,2024-02-23 10:55:43,Outperform,Market Perform,up,48.0,46.0,GMAB.CO,yahoo,1,-0.21361152508693493,False,True,0.0
Genmab,HC Wainwright & Co.,2024-03-06 13:02:56,Buy,Buy,reit,50.0,50.0,GMAB.CO,yahoo,1,-0.17392398691165367,False,True,0.0
Novo Nordisk,Cantor Fitzgerald,2024-03-08 17:35:54,Overweight,Overweight,main,160.0,140.0,NOVO-B.CO,yahoo,1,-0.33233887218876557,False,True,0.0
Novo Nordisk,Cantor Fitzgerald,2024-03-20 12:54:04,Overweight,Overweight,reit,160.0,160.0,NOVO-B.CO,yahoo,1,-0.3898649830689195,False,True,0.0
Genmab,Truist Securities,2024-03-26 13:26:52,Buy,Buy,main,50.0,50.0,GMAB.CO,yahoo,1,-0.36218250235183447,False,True,0.0
Genmab,Morgan Stanley,2024-03-26 15:03:00,Underweight,Underweight,main,32.0,32.0,GMAB.CO,yahoo,-1,-0.36218250235183447,False,True,1.0
Genmab,HC Wainwright & Co.,2024-03-27 10:28:35,Buy,Buy,main,50.0,50.0,GMAB.CO,yahoo,1,-0.3286948176583493,False,True,0.0
Novo Nordisk,Cantor Fitzgerald,2024-04-01 12:38:28,Overweight,Overweight,reit,160.0,160.0,NOVO-B.CO,yahoo,1,-0.4452676468009885,False,True,0.0
Genmab,HC Wainwright & Co.,2024-04-04 15:24:23,Buy,Buy,reit,50.0,50.0,GMAB.CO,yahoo,1,-0.39947216890595005,False,True,0.0
Novo Nordisk,Cantor Fitzgerald,2024-04-05 13:31:33,Overweight,Overweight,reit,160.0,160.0,NOVO-B.CO,yahoo,1,-0.49173988498908905,False,True,0.0
